Airline,AirTime,Flight_Number_Operating_Airline
Endeavor Air Inc.,137.0,3299
Endeavor Air Inc.,104.0,3300
Endeavor Air Inc.,105.0,3300
Endeavor Air Inc.,101.0,3300
Endeavor Air Inc.,117.0,3301
Endeavor Air Inc.,127.0,3302
Endeavor Air Inc.,105.0,3303
Endeavor Air Inc.,126.0,3304
Endeavor Air Inc.,134.0,3304
Endeavor Air Inc.,131.0,3304
Endeavor Air Inc.,140.0,3304
Endeavor Air Inc.,135.0,3304
Endeavor Air Inc.,103.0,3305
Endeavor Air Inc.,115.0,3306
Endeavor Air Inc.,152.0,3306
Endeavor Air Inc.,140.0,3307
Endeavor Air Inc.,103.0,3312
Endeavor Air Inc.,100.0,3312
Endeavor Air Inc.,100.0,3312
Endeavor Air Inc.,105.0,3313
Endeavor Air Inc.,111.0,3313
Endeavor Air Inc.,102.0,3313
Endeavor Air Inc.,106.0,3313
Endeavor Air Inc.,105.0,3313
Endeavor Air Inc.,106.0,3313
Endeavor Air Inc.,103.0,3313
Endeavor Air Inc.,109.0,3313
Endeavor Air Inc.,104.0,3313
Endeavor Air Inc.,113.0,3313
Endeavor Air Inc.,101.0,3313
Endeavor Air Inc.,100.0,3313
Endeavor Air Inc.,105.0,3313
Endeavor Air Inc.,100.0,3313
Endeavor Air Inc.,101.0,3313
Endeavor Air Inc.,103.0,3313
Endeavor Air Inc.,104.0,3313
Endeavor Air Inc.,108.0,3313
Endeavor Air Inc.,106.0,3313
Endeavor Air Inc.,100.0,3314
Endeavor Air Inc.,101.0,3314
Endeavor Air Inc.,107.0,3314
Endeavor Air Inc.,102.0,3314
Endeavor Air Inc.,105.0,3318
Endeavor Air Inc.,117.0,3319
Endeavor Air Inc.,185.0,3319
Endeavor Air Inc.,182.0,3319
Endeavor Air Inc.,189.0,3319
Endeavor Air Inc.,198.0,3319
Endeavor Air Inc.,182.0,3319
Endeavor Air Inc.,194.0,3319
Endeavor Air Inc.,200.0,3319
Endeavor Air Inc.,168.0,3319
Endeavor Air Inc.,170.0,3319
Endeavor Air Inc.,184.0,3319
Endeavor Air Inc.,190.0,3319
Endeavor Air Inc.,196.0,3319
Endeavor Air Inc.,187.0,3319
Endeavor Air Inc.,178.0,3319
Endeavor Air Inc.,199.0,3319
Endeavor Air Inc.,192.0,3319
Endeavor Air Inc.,106.0,3321
Endeavor Air Inc.,146.0,3324
Endeavor Air Inc.,103.0,3326
Endeavor Air Inc.,113.0,3328
Endeavor Air Inc.,111.0,3329
Endeavor Air Inc.,112.0,3329
Endeavor Air Inc.,114.0,3329
Endeavor Air Inc.,118.0,3329
Endeavor Air Inc.,128.0,3329
Endeavor Air Inc.,121.0,3329
Endeavor Air Inc.,122.0,3329
Endeavor Air Inc.,115.0,3329
Endeavor Air Inc.,113.0,3329
Endeavor Air Inc.,105.0,3329
Endeavor Air Inc.,108.0,3329
Endeavor Air Inc.,104.0,3329
Endeavor Air Inc.,117.0,3329
Endeavor Air Inc.,125.0,3329
Endeavor Air Inc.,122.0,3329
Endeavor Air Inc.,110.0,3329
Endeavor Air Inc.,114.0,3329
Endeavor Air Inc.,124.0,3329
Endeavor Air Inc.,122.0,3329
Endeavor Air Inc.,114.0,3329
Endeavor Air Inc.,115.0,3329
Endeavor Air Inc.,119.0,3329
Endeavor Air Inc.,132.0,3329
Endeavor Air Inc.,146.0,3330
Endeavor Air Inc.,154.0,3331
Endeavor Air Inc.,147.0,3331
Endeavor Air Inc.,146.0,3331
Endeavor Air Inc.,142.0,3331
Endeavor Air Inc.,155.0,3331
Endeavor Air Inc.,143.0,3331
Endeavor Air Inc.,126.0,3331
Endeavor Air Inc.,141.0,3331
Endeavor Air Inc.,142.0,3331
Endeavor Air Inc.,160.0,3331
Endeavor Air Inc.,136.0,3331
Endeavor Air Inc.,153.0,3331
